27,1,,,,,,
8,0.55,27,0.45,,,,
27,1,,,,,,
27,0.5,28,0.5,,,,
27,1,,,,,,
27,1,,,,,,
19,0.15,22,0.15,27,0.7,,
22,0.2,27,0.8,,,,
22,0.1,27,0.9,,,,
27,1,,,,,,
19,0.45,27,0.55,,,,
27,1,,,,,,
22,0.1,27,0.9,,,,
19,0.1,22,0.2,27,0.7,,
1,0.2,22,0.1,27,0.7,,
8,0.4,27,0.6,,,,
22,0.4,27,0.6,,,,
22,0.5,27,0.5,,,,
22,0.5,27,0.5,,,,
6,0.2,22,0.4,27,0.4,,
1,0.25,16,0.5,27,0.25,,
27,1,,,,,,
22,0.15,26,0.6,28,0.25,,
8,0.2,27,0.8,,,,
27,1,,,,,,
1,0.1,26,0.4,27,0.5,,
1,0.45,22,0.1,27,0.45,,
1,0.2,27,0.8,,,,
8,0.15,27,0.85,,,,
19,0.1,27,0.2,28,0.7,,
1,0.5,27,0.5,,,,
1,0.4,27,0.6,,,,
1,0.45,27,0.55,,,,
27,1,,,,,,
27,1,,,,,,
27,1,,,,,,
9,0.2,22,0.3,27,0.2,28,0.3
5,0.5,8,0.1,27,0.4,,
27,1,,,,,,
1,0.5,27,0.5,,,,
22,0.3,26,0.1,27,0.6,,
8,0.5,27,0.5,,,,
8,0.5,27,0.5,,,,
1,0.3,18,0.3,27,0.4,,
2,0.3,27,0.7,,,,
27,1,,,,,,
27,1,,,,,,
5,0.2,27,0.8,,,,
8,0.5,27,0.5,,,,
2,0.3,27,0.7,,,,
27,1,,,,,,
27,1,,,,,,
22,0.15,27,0.85,,,,
8,0.1,27,0.9,,,,
1,0.4,27,0.6,,,,
1,0.3,9,0.4,27,0.3,,
2,0.2,27,0.8,,,,
1,0.4,27,0.6,,,,
1,0.2,25,0.4,27,0.4,,
1,0.1,8,0.5,27,0.4,,
27,1,,,,,,
22,0.1,27,0.9,,,,
27,1,,,,,,
27,1,,,,,,
22,0.45,27,0.55,,,,
27,1,,,,,,
1,0.25,22,0.35,27,0.4,,
9,0.1,22,0.1,27,0.8,,
22,0.3,26,0.35,27,0.35,,
1,0.3,22,0.2,27,0.5,,
27,1,,,,,,
27,1,,,,,,
8,0.5,27,0.5,,,,
8,0.1,27,0.9,,,,
1,0.35,8,0.3,27,0.35,,
8,0.5,27,0.5,,,,
1,0.2,27,0.8,,,,
1,0.45,27,0.55,,,,
2,0.4,27,0.6,,,,
2,0.45,26,0.1,27,0.45,,
27,1,,,,,,
18,0.2,27,0.8,,,,
8,0.3,27,0.7,,,,
22,0.5,27,0.5,,,,
22,0.3,27,0.7,,,,
1,0.2,22,0.8,,,,
1,0.2,27,0.8,,,,
1,0.1,22,0.3,27,0.6,,
2,0.5,27,0.5,,,,
27,1,,,,,,
2,0.7,27,0.3,,,,
27,1,,,,,,
8,0.4,27,0.6,,,,
27,1,,,,,,
22,0.4,27,0.6,,,,
1,0.5,27,0.5,,,,
1,0.5,27,0.5,,,,
1,0.4,22,0.2,26,0.1,27,0.3
1,0.25,22,0.3,27,0.45,,
2,0.5,27,0.5,,,,
